respondent_id;Gusta_Riesgo;Licencia;Amigos_Moto;Familiares_Moto;Genero;Edad;Posición_Jefe_hogar;Posición_Hijo;Posición_Pareja;Ocupación_Independiente;Ocupación_Estudiante;Ocupación_Hogar;Ingreso_Personal;Ingreso_Norm_Personas;Estrato;Menores_16;Mayores_65;Nivel_Estudio;Vehículos;Otros_Licencia;Edad_18_40;Hombre_18_40
13119930566;4;0;1;1;0;36;1;0;0;1;0;0;0.5;0.166;1;1;0;0;0;0;1;0
13119907934;4;0;1;0;1;18;0;1;0;0;0;0;0.5;0.4375;1;1;0;3;0;0;1;1
13119848259;1;0;0;0;0;24;0;0;0;0;0;1;1.164;0.6;1;1;0;3;1;1;1;0
13119837752;3;0;1;1;0;20;0;0;0;0;0;0;0.664;0.388;1;1;0;3;0;0;1;0
13119780897;3;1;1;1;0;21;0;1;0;0;0;0;1.164;0.291666667;1;1;0;2;1;1;1;0
13119797160;2;1;1;1;0;26;0;1;0;1;0;0;1.75;1;1;0;0;4;1;1;1;0
13119738110;1;0;1;1;0;27;1;0;0;0;0;0;1.164;0.388;1;1;1;3;1;1;1;0
13119714246;1;1;1;1;1;22;0;1;0;1;0;0;0.664;0.221333333;1;0;0;2;1;1;1;1
13119731064;3;0;1;0;1;30;0;0;0;0;0;0;0.5;0.664;1;0;0;3;0;0;1;1
13119714604;3;0;1;0;0;20;0;0;1;0;0;1;0.5;0.125;1;0;0;2;0;0;1;0
13119675426;5;0;1;1;0;28;0;0;1;0;0;1;0.5;0.2328;1;1;0;2;0;1;1;0
13119657556;3;0;1;0;1;26;1;0;0;1;0;0;0.5;0.332;1;0;0;2;0;0;1;1
13119611428;5;0;1;0;0;24;0;0;0;0;0;0;1.164;0.388;1;0;1;2;0;0;1;0
13119584932;3;0;1;1;0;58;1;0;0;0;0;0;0.5;0.25;1;0;1;3;0;1;0;0
13119317414;5;0;1;0;0;27;1;0;0;0;0;1;0.5;0.1328;1;1;1;1;0;0;1;0
13119513838;2;1;1;1;0;46;0;1;0;1;0;0;1.164;0.45;1;0;1;1;1;1;0;0
13119538293;1;0;0;0;1;39;0;1;0;0;1;0;0.664;0.166;1;1;0;2;0;1;1;1
13119507352;4;0;1;1;0;24;0;1;0;0;0;1;1.164;0.2328;1;1;1;2;1;1;1;0
13119501354;4;0;1;1;0;20;0;0;0;1;0;0;1.164;0.45;1;1;0;2;0;1;1;0
13119484088;4;0;1;0;0;29;0;0;1;0;1;0;1.164;0.2328;1;1;1;3;0;0;1;0
13119348702;4;1;0;0;1;22;0;1;0;1;0;0;1.164;1.128571429;1;1;0;3;1;1;1;1
13119261816;5;1;1;1;1;35;1;0;0;0;0;0;1.75;0.582;2;0;0;2;1;0;1;1
13119352607;5;0;0;1;0;19;0;1;0;0;1;0;0.664;0.428571429;2;1;1;2;1;1;1;0
13119335626;3;1;1;1;0;43;0;0;1;0;0;1;0.5;0.125;2;1;0;3;1;1;0;0
13119330153;1;1;1;1;0;25;1;0;0;0;0;0;1.164;0.2328;2;1;0;3;1;1;1;0
13119309424;1;1;0;1;0;19;0;1;0;1;0;0;0.664;0.875;1;0;0;3;1;1;1;0
13119311804;1;0;1;1;0;33;0;0;1;1;0;0;0.5;0.2328;1;1;0;3;1;0;1;0
