respondent_id;Actividad_Riesgo;Propietario_Moto;Amigos_Moto;Familiares_Moto;Licencia_Carro;Genero;Edad;Posición_Jefe(a)_hogar;Posición_Hijo(a);Ocupación_Independiente;Ocupación_Hogar;Ocupación_Estudiante;Estrato;Menores_16;Mayores 65;Licencia_carro_otros;Licencia_moto_otros;Cantidad_Motos;Otros_Veh;Días_Uso_Moto;Viaja_Solo;Destino_Fijo;Hora_Pico;Viajes_Fuera;Ingreso;Periferia;Ingreso_norm_personas;Accidente;Nivel_Educacion;Cilindraje;Edad_18_40;Hombre_18_40;;
13119780897;3;1;1;1;0;0;24;0;1;0;0;0;1;3;0;0;2;1;0;5;1;1;0;1;1.75;1;0.292;1;2;0;1;0;;
13119797160;4;1;1;1;1;0;29;0;1;1;0;0;1;0;0;3;1;2;1;6;1;0;0;0;3;1;1;0;4;0;1;0;;
13119513838;5;1;1;1;0;0;49;0;1;1;0;0;1;0;2;3;3;3;0;3;0;1;0;1;2.25;1;0.45;0;1;0;0;0;;
13119348702;5;0;0;0;1;1;25;0;1;1;0;0;1;2;0;0;2;2;0;2;0;1;0;1;7.9;0;1.129;0;3;0;1;1;;
13119261816;5;1;1;1;0;1;38;1;0;0;0;0;2;0;0;0;0;1;0;6;1;1;0;1;1.164;1;0.582;0;2;0;1;1;;
13119335626;4;1;1;1;1;0;46;0;0;0;1;0;2;1;0;1;1;1;1;2;1;1;1;1;0.5;1;0.125;1;3;0;0;0;;
13119330153;1;1;1;1;1;0;28;1;0;0;0;0;2;1;0;0;2;1;0;3;1;1;0;1;1.164;1;0.233;1;3;0;1;0;;
13119309424;4;0;0;1;1;0;22;0;1;1;0;0;1;0;0;1;1;1;1;2;0;1;1;0;1.75;1;0.875;0;3;0;1;0;;
13119088465;3;1;0;1;0;1;39;1;0;0;0;0;2;2;0;0;1;1;0;7;1;1;0;1;1.164;1;0.233;1;1;0;1;1;;
13119308096;3;1;1;0;0;1;25;1;0;0;0;0;2;0;0;0;0;1;0;7;1;1;0;1;1.75;1;1.75;1;3;0;1;1;;
13119279832;4;0;1;1;1;0;45;0;1;1;0;0;2;2;2;1;1;0;0;5;1;1;0;1;5.85;1;0.975;0;4;1;0;0;;
13119263171;3;1;1;1;1;1;46;0;0;0;0;0;2;1;0;0;2;3;1;6;1;1;0;1;3;1;0.75;0;2;0;0;0;;
13119112315;4;1;1;1;0;0;29;0;0;0;0;1;2;2;3;1;1;1;1;5;1;1;0;1;0.664;0;0.221;0;0;0;1;0;;
13119286000;3;1;0;1;0;0;28;0;1;0;0;0;2;0;0;0;0;1;0;3;0;1;1;1;1.75;1;0.583;1;3;0;1;0;;
13119236313;5;0;0;0;1;1;41;0;0;0;0;0;2;1;0;0;0;1;0;0;1;1;0;1;0.664;1;0.221;2;2;0;0;0;;
13119256208;5;1;1;1;1;1;49;1;0;0;0;0;2;1;0;2;2;1;1;3;1;1;1;1;7.9;1;1.975;1;5;0;0;0;;
13119249321;5;0;1;1;1;0;51;0;0;0;0;0;2;3;2;2;2;2;1;3;1;1;0;1;3;1;0.5;1;3;0;0;0;;
13119231543;2;0;1;1;1;0;28;0;0;1;0;0;2;1;0;2;2;2;1;3;0;0;0;1;2.25;1;0.75;1;2;0;1;0;;
13119232083;4;1;1;1;0;0;56;0;0;1;0;0;2;0;0;0;1;1;0;7;0;0;0;1;3;1;1;1;2;1;0;0;;
13119275656;1;1;1;1;0;0;38;0;0;0;0;1;1;2;2;2;1;1;1;5;1;0;0;1;3;0;0.429;1;3;1;1;0;;
13119246144;4;1;1;1;1;1;26;0;1;0;0;0;2;0;0;1;2;1;0;5;1;1;1;1;5.85;1;1.463;0;4;1;1;1;;
13119199473;3;0;0;1;0;0;27;1;0;0;0;0;2;0;0;0;1;0;0;2;1;1;1;0;4.2;1;2.1;0;2;1;1;0;;
13119198026;4;1;1;0;1;0;45;0;0;0;0;0;2;1;0;2;1;1;0;4;1;1;0;1;1.164;1;0.291;1;3;0;0;0;;
13119192186;4;1;1;0;1;1;42;1;0;0;0;0;2;0;2;0;0;1;0;4;1;1;1;0;3;1;1.5;0;5;0;0;0;;
13119194539;4;1;0;0;1;1;40;1;0;0;0;0;2;2;0;0;0;2;1;7;1;1;1;1;4.2;1;0.84;0;4;0;1;1;;
13119091842;3;1;1;1;1;0;48;0;0;1;0;0;3;0;1;2;2;1;0;7;1;0;0;1;2.25;1;0.375;1;4;0;0;0;;
13119120895;1;1;1;1;0;0;43;0;0;1;0;0;3;0;2;0;2;2;0;6;0;1;1;1;1.75;0;0.583;0;3;1;0;0;;
13119179077;5;1;1;1;1;0;40;1;0;0;0;0;3;2;0;2;2;1;1;5;0;1;0;0;12;1;3;0;4;1;1;0;;
13119133782;5;1;0;0;1;0;42;1;0;0;0;0;3;2;0;1;0;1;1;7;1;1;1;1;4.2;0;1.05;1;4;0;0;0;;
13119107500;3;1;1;1;1;1;37;0;0;1;0;0;2;2;2;1;1;2;1;5;1;1;0;1;3;1;0.75;1;3;0;1;1;;
13119160942;5;1;0;0;1;1;23;1;0;1;0;0;3;1;0;2;1;1;1;5;1;1;1;1;2.25;1;0.75;1;4;0;1;1;;
13119167173;5;1;1;1;1;1;37;1;0;0;0;0;3;1;0;0;0;1;1;5;0;1;1;1;1.164;1;0.388;0;5;1;1;1;;
13119151649;5;1;1;1;1;1;29;0;0;0;0;0;3;1;0;1;0;1;0;4;1;1;1;1;4.2;1;1.4;0;4;0;1;1;;
13119150117;5;0;0;1;1;0;57;1;0;1;0;0;1;1;0;3;3;1;0;3;1;0;1;1;1.75;1;0.292;0;3;1;0;0;;
13119155206;4;1;1;0;1;0;21;0;1;0;0;0;3;0;0;1;0;1;0;6;0;1;0;1;1.164;1;0.388;0;3;0;1;0;;
